date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,went_to_shootout,outcome,home_elo,away_elo,elo_diff,home_recent_winrate,away_recent_winrate,home_recent_gd,away_recent_gd,form_diff,h2h_winrate,home_advantage
1894-03-24,Scotland,Wales,5,2,British Home Championship,Kilmarnock,Scotland,False,False,home_win,1668.8663630571973,1362.5238323450567,306.3425307121406,0.6,0.2,2.4,-4.0,0.39999999999999997,0.9444444444444444,1
1894-03-31,Northern Ireland,Scotland,1,2,British Home Championship,Belfast,Ireland,False,False,away_win,1293.9498535678601,1673.549846505935,-379.5999929380748,0.0,0.6,-2.8,2.0,-0.6,0.0,1
1894-04-07,Scotland,England,2,2,British Home Championship,Glasgow,Scotland,False,False,draw,1676.7847802915583,1682.760789114072,-5.976008822513677,0.8,0.8,2.8,3.6,0.0,0.5,1
1895-03-09,England,Northern Ireland,9,0,British Home Championship,Derby,England,False,False,home_win,1682.4856108742342,1290.7149197822368,391.7706910919974,0.6,0.0,2.6,-2.8,0.6,0.9230769230769231,1
1895-03-16,Northern Ireland,Wales,2,2,British Home Championship,Belfast,Ireland,False,False,draw,1287.6780968415478,1357.840348896319,-70.16225205477122,0.0,0.2,-3.6,-3.6,-0.2,0.16666666666666666,1
1895-03-18,England,Wales,1,1,British Home Championship,London,England,False,False,draw,1685.5224338149233,1354.652475369594,330.8699584453293,0.6,0.2,3.2,-2.4,0.39999999999999997,0.8125,1
1895-03-23,Wales,Scotland,2,2,British Home Championship,Wrexham,Wales,False,False,draw,1366.5057824836606,1677.059958531396,-310.5541760477354,0.2,0.6,-0.8,1.2,-0.39999999999999997,0.0,1
1895-03-30,Scotland,Northern Ireland,3,1,British Home Championship,Glasgow,Scotland,False,False,home_win,1665.6473420503442,1290.8659703682729,374.78137168207127,0.4,0.0,0.2,-2.6,0.4,1.0,1
1895-04-06,England,Scotland,3,0,British Home Championship,Liverpool,England,False,False,home_win,1673.6691267008566,1668.963833237997,4.705293462859572,0.4,0.6,2.6,1.2,-0.19999999999999996,0.2608695652173913,1
1896-02-29,Wales,Northern Ireland,6,1,British Home Championship,Wrexham,Wales,False,False,home_win,1377.9183989647124,1287.54947918062,90.36891978409244,0.0,0.0,-1.4,-2.4,0.0,0.6153846153846154,1
1896-03-07,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,False,False,away_win,1275.619743996247,1689.4524531757324,-413.8327091794854,0.0,0.6,-3.4,3.2,-0.6,0.0,1
1896-03-16,Wales,England,1,9,British Home Championship,Cardiff,Wales,False,False,away_win,1389.8481341490854,1692.157706696736,-302.30957254765076,0.2,0.6,0.4,2.8,-0.39999999999999997,0.11764705882352941,1
1896-03-21,Scotland,Wales,4,0,British Home Championship,Dundee,Scotland,False,False,home_win,1653.1805067631212,1385.0710704198204,268.1094363433008,0.4,0.2,0.0,-0.6,0.2,0.9,1
1896-03-28,Northern Ireland,Scotland,3,3,British Home Championship,Belfast,Ireland,False,False,draw,1272.9144904752434,1658.8140131121568,-385.8995226369134,0.0,0.4,-3.6,0.6,-0.4,0.0,1
1896-04-04,Scotland,England,2,1,British Home Championship,Glasgow,Scotland,False,False,home_win,1645.945012242602,1696.934770426001,-50.98975818339909,0.4,0.8,0.6,4.4,-0.4,0.4583333333333333,1
1897-02-20,England,Northern Ireland,6,0,British Home Championship,Nottingham,England,False,False,home_win,1678.6033200178445,1285.7834913447982,392.81982867304623,0.6,0.0,2.4,-1.8,0.6,0.9333333333333333,1
1897-03-06,Northern Ireland,Wales,4,3,British Home Championship,Belfast,Ireland,False,False,home_win,1282.7632276784984,1379.437564070785,-96.67433639228648,0.0,0.2,-3.0,-1.4,-0.2,0.14285714285714285,1
1897-03-20,Wales,Scotland,2,2,British Home Championship,Wrexham,Wales,False,False,draw,1359.0969933633562,1664.2764626507585,-305.1794692874023,0.2,0.6,-1.6,0.8,-0.39999999999999997,0.0,1
1897-03-27,Scotland,Northern Ireland,5,1,British Home Championship,Glasgow,Scotland,False,False,home_win,1652.986776708854,1303.1037983859271,349.8829783229269,0.4,0.2,0.4,-2.4,0.2,0.9230769230769231,1
1897-03-29,England,Wales,4,0,British Home Championship,Sheffield,England,False,False,home_win,1681.6235836841443,1370.3866793052607,311.23690437888354,0.8,0.2,3.6,-1.6,0.6000000000000001,0.7777777777777778,1
1897-04-03,England,Scotland,1,2,British Home Championship,London,England,False,False,away_win,1686.1955445061633,1656.754189687925,29.441354818238324,0.8,0.6,3.8,1.8,0.20000000000000007,0.28,1
1898-02-19,Wales,Northern Ireland,0,1,British Home Championship,Llandudno,Wales,False,False,away_win,1365.8147184832417,1299.3363854068562,66.47833307638552,0.0,0.2,-3.4,-2.2,-0.2,0.6,1
1898-03-05,Northern Ireland,England,2,3,British Home Championship,Belfast,Ireland,False,False,away_win,1318.3610041167176,1668.8429559752763,-350.48195185855866,0.4,0.6,-1.6,3.2,-0.19999999999999996,0.0,1
1898-03-19,Scotland,Wales,5,2,British Home Championship,Motherwell,Scotland,False,False,home_win,1674.106778218812,1346.7900997733802,327.31667844543176,0.6,0.0,1.2,-2.0,0.6,0.8636363636363636,1
1898-03-26,Northern Ireland,Scotland,0,3,British Home Championship,Belfast,Ireland,False,False,away_win,1314.6050366380289,1678.327858874767,-363.722822236738,0.4,0.8,-1.8,1.8,-0.4,0.0,1
1898-03-28,Wales,England,0,3,British Home Championship,Wrexham,Wales,False,False,away_win,1342.5690191174253,1672.598923453965,-330.02990433653963,0.0,0.6,-1.8,1.8,-0.6,0.10526315789473684,1
1898-04-02,Scotland,England,1,3,British Home Championship,Glasgow,Scotland,False,False,away_win,1681.8384221634292,1676.7631014910896,5.075320672339558,0.8,0.8,2.2,2.6,0.0,0.5,1
1899-02-18,England,Northern Ireland,13,2,British Home Championship,Sunderland,England,False,False,home_win,1692.9968120217768,1311.0944733493666,381.9023386724102,0.8,0.4,1.8,-1.2,0.4,0.9411764705882353,1
1899-03-04,Northern Ireland,Wales,1,0,British Home Championship,Belfast,Ireland,False,False,home_win,1307.8978759079566,1338.4048410803007,-30.506965172344053,0.2,0.0,-3.6,-2.2,0.2,0.25,1
1899-03-18,Wales,Scotland,0,6,British Home Championship,Wrexham,Wales,False,False,away_win,1321.0035428611232,1665.604711632742,-344.60116877161886,0.0,0.8,-2.4,1.8,-0.8,0.0,1
1899-03-20,England,Wales,4,0,British Home Championship,Bristol,England,False,False,home_win,1696.1934094631868,1317.1338887267657,379.05952073642106,0.8,0.0,3.2,-2.8,0.8,0.8,1
1899-03-25,Scotland,Northern Ireland,9,1,British Home Championship,Glasgow,Scotland,False,False,home_win,1669.4743657670995,1325.2991741271342,344.1751916399653,0.8,0.4,2.2,-2.6,0.4,0.9333333333333333,1
1899-04-08,England,Scotland,2,1,British Home Championship,Birmingham,England,False,False,home_win,1699.4374015933552,1673.3523690634433,26.085032529911814,1.0,0.8,4.2,3.6,0.19999999999999996,0.2962962962962963,1
1900-02-03,Scotland,Wales,5,2,British Home Championship,Aberdeen,Scotland,False,False,home_win,1658.5513771863286,1313.8898965965973,344.66148058973135,0.6,0.0,2.8,-3.4,0.6,0.875,1
1900-02-24,Wales,Northern Ireland,2,0,British Home Championship,Llandudno,Wales,False,False,home_win,1310.0214233216761,1321.4211708307903,-11.39974750911415,0.0,0.2,-3.4,-4.4,-0.2,0.5294117647058824,1
